"Path","Lines","SizeKB"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\ConfirmDialog.tsx","33","0.89"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\CostCodePicker.tsx","253","10.99"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\DarkModeToggle.tsx","50","2.21"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\DataTable.tsx","190","6.87"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\DetailCard.tsx","56","1.52"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\DetailViewHeader.tsx","131","4.68"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Drawer.tsx","151","4.44"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\DropdownButton.tsx","98","3.71"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\EntityHeader.tsx","176","5.18"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\FilterPanel.tsx","365","17.04"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\FilterTags.tsx","115","4.34"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\FormField.tsx","69","1.93"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\FormSection.tsx","85","1.87"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\GlobalSearch.tsx","250","10.23"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\index.ts","77","1.91"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Input.tsx","103","4.1"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\LinkedDocumentsSection.tsx","72","2.51"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\Loader.tsx","63","1.59"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\LocaleToggle.tsx","39","1.34"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\NotificationsDropdown.tsx","270","10.12"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\components\ui\PageHeader.tsx","170","5.27"
